S.No., NepaliName, EnglishName, Website
01, ताप्लेजुंग, Taplejung,	http://www.ddctaplejung.gov.np
02,	पाँचथर,	Panchthar,	http://www.ddcpanchthar.gov.np
03,	इलाम,	Ilam,	http://www.ddcilam.gov.np
04,	झापा,	Jhapa,	http://www.ddcjhapa.gov.np
05,	मोरङ,	Morang,	http://www.ddcmorang.gov.np
06,	सुनसरी,	Sunsari,	http://www.ddcsunsari.gov.np
07,	धनकुटा,	Dhankuta,	http://www.ddcdhankuta.gov.np
08,	तेर्हथुम,	Tehrathum,	http://www.ddctehrathum.gov.np
09,	संखुवासभा,	Sankhuwasabha,	http://www.ddcsankhuwasabha.gov.np
10,	भोजपुर,	Bhojpur,	http://www.ddcbhojpur.gov.np
11,	सोलुखुम्बु,	Solukhumbu,	http://www.ddcsolukhumbu.gov.np
12,	ओखलढुङ्गा,	Okhaldhunga,	http://www.ddcokhaldhunga.gov.np
13,	खोटाङ,	Khotang,	http://www.ddckhotang.gov.np
14,	उदयपुर,	Udayapur,	http://www.ddcudayapur.gov.np
15,	सप्तरी,	Saptari,	http://www.ddcsaptari.gov.np
16,	सिरहा,	Siraha,	http://www.ddcsiraha.gov.np
17,	धनुषा,	Dhanusha,	http://www.ddcdhanusha.gov.np
18,	महोत्तरी,	Mahottari,	http://www.ddcmahottari.gov.np
19,	सर्लाही,	Sarlahi,	http://www.ddcsarlahi.gov.np
20,	सिन्धुली,	Sindhuli,	http://www.ddcsindhuli.gov.np
21,	रामेछाप,	Ramechhap,	http://www.ddcramechhap.gov.np
22,	दोलखा,	Dolakha,	http://www.ddcdolakha.gov.np
23,	सिन्धुपाल्चोक,	Sindhupalchowk,	http://www.ddcsindhupalchowk.gov.np
24,	काभ्रे,	Kavre,	http://www.ddckavre.gov.np
25,	ललितपुर,	Lalitpur,	http://www.ddclalitpur.gov.np
26,	भक्तपुर,	Bhaktapur,	http://www.ddcbhaktapur.gov.np
27,	काठमाडौं,	Kathmandu,	http://www.ddcktm.gov.np
28,	नुवाकोट,	Nuwakot,	http://www.ddcnuwakot.gov.np
29,	रसुवा,	Rasuwa,	http://www.ddcrasuwa.gov.np
30,	धादिङ,	Dhading,	http://www.ddcdhading.gov.np
31,	मकवानपुर,	Makwanpur,	http://www.ddcmakwanpur.gov.np
32,	रौतहट,	Rautahat,	http://www.ddcrautahat.gov.np
33,	बारा,	Bara,	http://www.ddcbara.gov.np
34,	पर्सा,	Parsa,	http://www.ddcparsa.gov.np
35,	चितवन,	Chitwan,	http://www.ddcchitwan.gov.np
36,	गोरखा,	Gorkha,	http://www.ddcgorkha.gov.np
37,	लमजुङ,	Lamjung,	http://www.ddclamjung.gov.np
38,	तनहुँ,	Tanahun,	http://www.ddctanahun.gov.np
39,	स्याङ्जा,	Syangja,	http://www.ddcsyangja.gov.np
40,	कास्की,	Kaski,	http://www.ddckaski.gov.np
41,	मनाङ,	Manang,	http://www.ddcmanang.gov.np
42,	मुस्ताङ,	Mustang,	http://www.ddcmustang.gov.np
43,	म्याग्दी,	Myagdi,	http://www.ddcmyagdi.gov.np
44,	पर्वत,	Parbat,	http://www.ddcparbat.gov.np
45,	बागलुङ,	Baglung,	http://www.ddcbaglung.gov.np
46,	गुल्मी,	Gulmi,	http://www.ddcgulmi.gov.np
47,	पाल्पा,	Palpa,	http://www.ddcpalpa.gov.np
48,	नवलपरासी,	Nawalparasi,	http://www.ddcnawalparasi.gov.np
49,	रुपन्देही,	Rupandehi,	http://www.ddcrupandehi.gov.np
50,	कपिलवस्तु,	Kapilvastu,	http://www.ddckapilvastu.gov.np
51,	अर्घाखाँची,	Arghakhanchi,	http://www.ddcarghakhanchi.gov.np
52,	प्युठान,	Pyuthan,	http://www.ddcpyuthan.gov.np
53,	रोल्पा,	Rolpa,	http://www.ddcrolpa.gov.np
54,	रुकुम,	Rukum,	http://www.ddcrukum.gov.np
55,	सल्यान,	Salyan,	http://www.ddcsalyan.gov.np
56,	दाङ,	Dang,	http://www.ddcdang.gov.np
57,	बाँके,	Banke,	http://www.ddcbanke.gov.np
58,	बर्दिया,	Bardiya,	http://www.ddcbardiya.gov.np
59,	सुर्खेत,	Surkhet,	http://www.ddcsurkhet.gov.np
60,	दैलेख,	Dailekh,	http://www.ddcdailekh.gov.np
61,	जाजरकोट,	Jajarkot,	http://www.ddcjajarkot.gov.np
62,	डोल्पा,	Dolpa,	http://www.ddcdolpa.gov.np
63,	जुम्ला,	Jumla,	http://www.ddcjumla.gov.np
64,	कालिकोट,	Kalikot,	http://www.ddckalikot.gov.np
65,	मुगु,	Mugu,	http://www.ddcmugu.gov.np
66,	हुम्ला,	Humla,	http://www.ddchumla.gov.np
67,	बाजुरा,	Bajura,	http://www.ddcbajura.gov.np
68,	बझाङ,	Bajhang,	http://www.ddcbajhang.gov.np
69,	अछाम,	Achham,	http://www.ddcachham.gov.np
70,	डोटी,	Doti,	http://www.ddcdoti.gov.np
71,	कैलाली,	Kailali,	http://www.ddckailali.gov.np
72,	कञ्चनपुर,	Kanchanpur,	http://www.ddckanchanpur.gov.np
73,	डडेल्धुरा,	Dadeldhura,	http://www.ddcdadeldhura.gov.np
74,	बैतडी,	Baitadi,	http://www.ddcbaitadi.gov.np
75,	दार्चुला,	Darchula,	http://www.ddcdarchula.gov.np